date,open,high,low,close,price,total_volume,market_cap,price_change_pct,market_cap_rank,circulating_supply,month,year,quarter,day_of_week,rolling_7d_avg,rolling_30d_avg,volatility_7d,volume_usd
2023-06-01,1839.62,1897.76,1787.55,1839.74,1839.74,6620386312.0,220768455869.0,0.0,2,120043101.0,June,2023,Q2,Thursday,,,,6620386312.0
2023-06-02,1791.21,1807.57,1782.04,1797.04,1797.04,10082909740.0,215644626158.0,-2.3761,2,119918121.0,June,2023,Q2,Friday,,,,10082909740.0
2023-06-03,1899.01,1878.8,1817.88,1868.01,1868.01,17038785194.0,224161247307.0,3.7993,2,119854640.0,June,2023,Q2,Saturday,,,,17038785194.0
2023-06-04,1935.41,1977.9,1905.62,1946.13,1946.13,13580729651.0,233535019320.0,4.0139,2,120060656.0,June,2023,Q2,Sunday,,,,13580729651.0
2023-06-05,1819.47,1853.71,1767.32,1813.63,1813.63,12690015889.0,217635089306.0,-7.3058,2,120095439.0,June,2023,Q2,Monday,,,,12690015889.0
2023-06-06,1831.32,1879.91,1801.87,1821.69,1821.69,9402332348.0,218602323491.0,0.4425,2,119926251.0,June,2023,Q2,Tuesday,,,,9402332348.0
2023-06-07,1936.33,2031.89,1913.99,1974.79,1974.79,18976305791.0,236975121685.0,7.753,2,120057933.0,June,2023,Q2,Wednesday,1865.86,,68.8126,18976305791.0
2023-06-08,1930.41,1957.39,1850.36,1917.86,1917.86,10955225619.0,230143775359.0,-2.9683,2,119958052.0,June,2023,Q2,Thursday,1877.02,,70.1911,10955225619.0
2023-06-09,1803.37,1853.53,1803.9,1826.9,1826.9,6306391502.0,219227776662.0,-4.9793,2,120085283.0,June,2023,Q2,Friday,1881.29,,65.254,6306391502.0
2023-06-10,1951.15,1992.25,1899.82,1915.81,1915.81,14255997742.0,229897768101.0,4.6412,2,119879686.0,June,2023,Q2,Saturday,1888.12,,66.1282,14255997742.0
2023-06-11,1817.35,1879.97,1832.51,1843.25,1843.25,6707575902.0,221190506040.0,-3.9365,2,120156086.0,June,2023,Q2,Sunday,1873.42,,62.4138,6707575902.0
2023-06-12,1844.63,1889.44,1800.1,1850.95,1850.95,10178347142.0,222113634086.0,0.4156,2,119914964.0,June,2023,Q2,Monday,1878.75,,57.885,10178347142.0
2023-06-13,1883.63,1935.94,1865.12,1915.4,1915.4,12611179081.0,229847542993.0,3.3648,2,119947114.0,June,2023,Q2,Tuesday,1892.14,,53.1303,12611179081.0
2023-06-14,1785.56,1808.22,1708.51,1750.76,1750.76,18113337870.0,210091570187.0,-9.4035,2,119823237.0,June,2023,Q2,Wednesday,1860.13,,61.8102,18113337870.0
2023-06-15,1773.72,1825.5,1750.3,1773.57,1773.57,12403198705.0,212828049593.0,1.2858,2,119844605.0,June,2023,Q2,Thursday,1839.52,,63.3897,12403198705.0
2023-06-16,1881.41,1898.11,1839.24,1874.26,1874.26,15533881490.0,224910907965.0,5.3723,2,120006345.0,June,2023,Q2,Friday,1846.29,,64.3385,15533881490.0
2023-06-17,1813.87,1860.39,1798.2,1845.84,1845.84,19892252585.0,221500274287.0,-1.5398,2,119907037.0,June,2023,Q2,Saturday,1836.29,,56.7213,19892252585.0
2023-06-18,1979.15,2016.03,1915.69,1959.56,1959.56,6972336798.0,235147368014.0,5.8036,2,120134192.0,June,2023,Q2,Sunday,1852.91,,73.6188,6972336798.0
2023-06-19,1847.58,1921.44,1795.3,1869.27,1869.27,9120972883.0,224312846129.0,-4.8301,2,119805877.0,June,2023,Q2,Monday,1855.52,,73.8629,9120972883.0
2023-06-20,1865.6,1863.1,1818.41,1836.36,1836.36,10918641134.0,220362784991.0,-1.7925,2,119951638.0,June,2023,Q2,Tuesday,1844.23,,69.0698,10918641134.0
2023-06-21,2049.48,2153.34,2013.12,2073.95,2073.95,11327422678.0,248873497984.0,11.4559,2,119934938.0,June,2023,Q2,Wednesday,1890.4,,98.0951,11327422678.0
2023-06-22,1921.83,1965.93,1908.64,1945.91,1945.91,11165316129.0,233509149236.0,-6.5798,2,119807731.0,June,2023,Q2,Thursday,1915.02,,84.5818,11165316129.0
2023-06-23,1939.93,2016.37,1937.07,1976.57,1976.57,18614165038.0,237188794383.0,1.5514,2,119849747.0,June,2023,Q2,Friday,1929.64,,85.2016,18614165038.0
2023-06-24,1862.23,1935.2,1808.16,1864.31,1864.31,15710489667.0,223717091400.0,-6.0218,2,119965457.0,June,2023,Q2,Saturday,1932.28,,82.4144,15710489667.0
2023-06-25,1946.81,1980.01,1885.0,1941.77,1941.77,14118578211.0,233012628750.0,3.9893,2,119997146.0,June,2023,Q2,Sunday,1929.73,,81.704,14118578211.0
